tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2021-04-20,DKI1 (Bunderan HI),83.0,56.0,25.0,12.0,21.0,30.0,83.0,PM25,SEDANG
2021-04-21,DKI1 (Bunderan HI),87.0,63.0,24.0,19.0,14.0,37.0,87.0,PM25,SEDANG
2021-04-22,DKI1 (Bunderan HI),81.0,54.0,25.0,14.0,23.0,40.0,81.0,PM25,SEDANG
2021-04-23,DKI1 (Bunderan HI),99.0,66.0,25.0,16.0,21.0,42.0,99.0,PM25,SEDANG
2021-04-24,DKI1 (Bunderan HI),99.0,66.0,23.0,18.0,30.0,40.0,99.0,PM25,SEDANG
2021-04-25,DKI1 (Bunderan HI),86.0,63.0,24.0,15.0,17.0,36.0,86.0,PM25,SEDANG
2021-04-26,DKI1 (Bunderan HI),79.0,56.0,26.0,10.0,22.0,24.0,79.0,PM25,SEDANG
2021-04-27,DKI1 (Bunderan HI),94.0,62.0,26.0,12.0,23.0,28.0,94.0,PM25,SEDANG
2021-04-28,DKI1 (Bunderan HI),77.0,54.0,21.0,15.0,21.0,34.0,77.0,PM25,SEDANG
2021-04-29,DKI1 (Bunderan HI),71.0,57.0,23.0,17.0,18.0,38.0,71.0,PM25,SEDANG
2021-04-30,DKI1 (Bunderan HI),84.0,61.0,23.0,18.0,20.0,42.0,84.0,PM25,SEDANG
2021-05-01,DKI1 (Bunderan HI),71.0,52.0,23.0,10.0,20.0,33.0,71.0,PM25,SEDANG
2021-05-02,DKI1 (Bunderan HI),67.0,50.0,22.0,9.0,18.0,17.0,67.0,PM25,SEDANG
2021-05-03,DKI1 (Bunderan HI),70.0,53.0,26.0,10.0,20.0,20.0,70.0,PM25,SEDANG
2021-05-04,DKI1 (Bunderan HI),77.0,59.0,31.0,14.0,14.0,26.0,77.0,PM25,SEDANG
2021-05-05,DKI1 (Bunderan HI),82.0,58.0,22.0,18.0,14.0,38.0,82.0,PM25,SEDANG
2021-05-06,DKI1 (Bunderan HI),65.0,49.0,19.0,16.0,18.0,38.0,65.0,PM25,SEDANG
2021-05-07,DKI1 (Bunderan HI),70.0,54.0,20.0,26.0,19.0,45.0,70.0,PM25,SEDANG
2021-05-08,DKI1 (Bunderan HI),69.0,52.0,20.0,12.0,19.0,28.0,69.0,PM25,SEDANG
2021-05-09,DKI1 (Bunderan HI),57.0,41.0,18.0,9.0,26.0,21.0,57.0,PM25,SEDANG
2021-05-10,DKI1 (Bunderan HI),69.0,47.0,19.0,10.0,25.0,21.0,69.0,PM25,SEDANG
2021-05-11,DKI1 (Bunderan HI),88.0,60.0,24.0,12.0,25.0,24.0,88.0,PM25,SEDANG
2021-05-12,DKI1 (Bunderan HI),79.0,59.0,21.0,10.0,25.0,21.0,79.0,PM25,SEDANG
2021-05-13,DKI1 (Bunderan HI),110.0,70.0,24.0,14.0,24.0,20.0,110.0,PM25,TIDAK SEHAT
2021-05-14,DKI1 (Bunderan HI),72.0,52.0,24.0,8.0,25.0,14.0,72.0,PM25,SEDANG
2021-05-15,DKI1 (Bunderan HI),67.0,51.0,26.0,11.0,20.0,19.0,67.0,PM25,SEDANG
2021-05-16,DKI1 (Bunderan HI),65.0,51.0,23.0,8.0,20.0,16.0,65.0,PM25,SEDANG
2021-05-17,DKI1 (Bunderan HI),65.0,47.0,22.0,11.0,24.0,24.0,65.0,PM25,SEDANG
2021-05-18,DKI1 (Bunderan HI),54.0,40.0,24.0,10.0,23.0,26.0,54.0,PM25,SEDANG
2021-05-19,DKI1 (Bunderan HI),69.0,52.0,23.0,17.0,19.0,36.0,69.0,PM25,SEDANG
2021-05-20,DKI1 (Bunderan HI),79.0,57.0,24.0,12.0,23.0,27.0,79.0,PM25,SEDANG
2021-05-21,DKI1 (Bunderan HI),76.0,52.0,24.0,15.0,22.0,34.0,76.0,PM25,SEDANG
2021-05-22,DKI1 (Bunderan HI),79.0,56.0,22.0,16.0,28.0,36.0,79.0,PM25,SEDANG
2021-05-23,DKI1 (Bunderan HI),91.0,60.0,24.0,21.0,27.0,37.0,91.0,PM25,SEDANG
2021-05-24,DKI1 (Bunderan HI),108.0,74.0,22.0,20.0,23.0,38.0,108.0,PM25,TIDAK SEHAT
2021-05-25,DKI1 (Bunderan HI),60.0,44.0,23.0,15.0,23.0,35.0,60.0,PM25,SEDANG
2021-05-26,DKI1 (Bunderan HI),77.0,56.0,27.0,11.0,21.0,24.0,77.0,PM25,SEDANG
2021-05-27,DKI1 (Bunderan HI),64.0,51.0,27.0,8.0,16.0,20.0,64.0,PM25,SEDANG
2021-05-28,DKI1 (Bunderan HI),70.0,54.0,29.0,12.0,16.0,24.0,70.0,PM25,SEDANG
2021-05-29,DKI1 (Bunderan HI),76.0,56.0,23.0,14.0,17.0,32.0,76.0,PM25,SEDANG
2021-05-30,DKI1 (Bunderan HI),61.0,47.0,24.0,16.0,18.0,29.0,61.0,PM25,SEDANG
2021-05-31,DKI1 (Bunderan HI),73.0,55.0,21.0,15.0,19.0,33.0,73.0,PM25,SEDANG
2021-06-01,DKI1 (Bunderan HI),83.0,59.0,22.0,18.0,19.0,35.0,83.0,PM25,SEDANG
2021-06-02,DKI1 (Bunderan HI),84.0,59.0,21.0,20.0,24.0,38.0,84.0,PM25,SEDANG
2021-06-03,DKI1 (Bunderan HI),76.0,54.0,22.0,20.0,17.0,41.0,76.0,PM25,SEDANG
2021-06-04,DKI1 (Bunderan HI),87.0,63.0,20.0,13.0,14.0,30.0,87.0,PM25,SEDANG
2021-06-05,DKI1 (Bunderan HI),79.0,59.0,23.0,20.0,19.0,38.0,79.0,PM25,SEDANG
2021-06-06,DKI1 (Bunderan HI),83.0,59.0,22.0,15.0,19.0,32.0,83.0,PM25,SEDANG
2021-06-07,DKI1 (Bunderan HI),72.0,52.0,24.0,13.0,28.0,31.0,72.0,PM25,SEDANG
2021-06-08,DKI1 (Bunderan HI),80.0,58.0,26.0,16.0,24.0,38.0,80.0,PM25,SEDANG
2021-06-09,DKI1 (Bunderan HI),77.0,58.0,24.0,14.0,23.0,34.0,77.0,PM25,SEDANG
2021-06-10,DKI1 (Bunderan HI),89.0,66.0,23.0,23.0,18.0,47.0,89.0,PM25,SEDANG
2021-06-11,DKI1 (Bunderan HI),77.0,59.0,22.0,15.0,23.0,40.0,77.0,PM25,SEDANG
2021-06-12,DKI1 (Bunderan HI),77.0,57.0,24.0,17.0,27.0,35.0,77.0,PM25,SEDANG
2021-06-13,DKI1 (Bunderan HI),70.0,51.0,23.0,14.0,25.0,25.0,70.0,PM25,SEDANG
2021-06-14,DKI1 (Bunderan HI),82.0,58.0,25.0,13.0,22.0,26.0,82.0,PM25,SEDANG
2021-06-15,DKI1 (Bunderan HI),86.0,62.0,31.0,13.0,17.0,29.0,86.0,PM25,SEDANG
2021-06-16,DKI1 (Bunderan HI),74.0,56.0,39.0,18.0,13.0,35.0,74.0,PM25,SEDANG
2021-06-17,DKI1 (Bunderan HI),80.0,56.0,28.0,25.0,17.0,39.0,80.0,PM25,SEDANG
2021-06-18,DKI1 (Bunderan HI),84.0,64.0,29.0,17.0,16.0,34.0,84.0,PM25,SEDANG
2021-06-19,DKI1 (Bunderan HI),68.0,54.0,26.0,21.0,13.0,45.0,68.0,PM25,SEDANG
2021-06-20,DKI1 (Bunderan HI),109.0,75.0,33.0,25.0,21.0,44.0,109.0,PM25,TIDAK SEHAT
2021-06-21,DKI1 (Bunderan HI),64.0,52.0,24.0,16.0,18.0,31.0,64.0,PM25,SEDANG
2021-06-22,DKI1 (Bunderan HI),58.0,44.0,27.0,15.0,16.0,32.0,58.0,PM25,SEDANG
2021-06-23,DKI1 (Bunderan HI),79.0,54.0,26.0,17.0,24.0,43.0,79.0,PM25,SEDANG
2021-06-24,DKI1 (Bunderan HI),90.0,65.0,31.0,17.0,17.0,39.0,90.0,PM25,SEDANG
2021-06-25,DKI1 (Bunderan HI),82.0,59.0,36.0,14.0,17.0,32.0,82.0,PM25,SEDANG
2021-06-26,DKI1 (Bunderan HI),66.0,54.0,31.0,10.0,21.0,23.0,66.0,PM25,SEDANG
2021-06-27,DKI1 (Bunderan HI),94.0,65.0,27.0,18.0,22.0,32.0,94.0,PM25,SEDANG
2021-06-28,DKI1 (Bunderan HI),79.0,55.0,24.0,18.0,26.0,38.0,79.0,PM25,SEDANG
2021-06-29,DKI1 (Bunderan HI),94.0,66.0,30.0,15.0,20.0,28.0,94.0,PM25,SEDANG
2021-06-30,DKI1 (Bunderan HI),94.0,65.0,26.0,19.0,19.0,38.0,94.0,PM25,SEDANG
2021-07-01,DKI1 (Bunderan HI),76.0,55.0,27.0,14.0,20.0,31.0,76.0,PM25,SEDANG
2021-07-02,DKI1 (Bunderan HI),70.0,55.0,33.0,16.0,14.0,30.0,70.0,PM25,SEDANG
2021-07-03,DKI1 (Bunderan HI),81.0,58.0,33.0,12.0,19.0,25.0,81.0,PM25,SEDANG
2021-07-04,DKI1 (Bunderan HI),102.0,68.0,27.0,11.0,27.0,22.0,102.0,PM25,TIDAK SEHAT
2021-07-05,DKI1 (Bunderan HI),106.0,71.0,28.0,12.0,34.0,25.0,106.0,PM25,TIDAK SEHAT
2021-07-06,DKI1 (Bunderan HI),74.0,56.0,26.0,9.0,29.0,29.0,74.0,PM25,SEDANG
2021-07-07,DKI1 (Bunderan HI),86.0,64.0,34.0,10.0,22.0,27.0,86.0,PM25,SEDANG
2021-07-08,DKI1 (Bunderan HI),94.0,68.0,32.0,10.0,26.0,26.0,94.0,PM25,SEDANG
2021-07-09,DKI1 (Bunderan HI),101.0,70.0,33.0,9.0,28.0,25.0,101.0,PM25,TIDAK SEHAT
2021-07-10,DKI1 (Bunderan HI),83.0,64.0,35.0,7.0,24.0,23.0,83.0,PM25,SEDANG
2021-07-11,DKI1 (Bunderan HI),71.0,54.0,32.0,6.0,21.0,15.0,71.0,PM25,SEDANG
2021-07-12,DKI1 (Bunderan HI),59.0,46.0,29.0,5.0,18.0,13.0,59.0,PM25,SEDANG
2021-07-13,DKI1 (Bunderan HI),89.0,63.0,33.0,10.0,18.0,24.0,89.0,PM25,SEDANG
2021-07-14,DKI1 (Bunderan HI),69.0,53.0,28.0,10.0,17.0,23.0,69.0,PM25,SEDANG
2021-07-15,DKI1 (Bunderan HI),95.0,66.0,31.0,12.0,24.0,30.0,95.0,PM25,SEDANG
2021-07-16,DKI1 (Bunderan HI),97.0,71.0,30.0,11.0,24.0,29.0,97.0,PM25,SEDANG
2021-07-17,DKI1 (Bunderan HI),80.0,63.0,29.0,8.0,28.0,20.0,80.0,PM25,SEDANG
2021-07-18,DKI1 (Bunderan HI),89.0,63.0,31.0,8.0,32.0,19.0,89.0,PM25,SEDANG
2021-07-19,DKI1 (Bunderan HI),95.0,66.0,26.0,10.0,32.0,28.0,95.0,PM25,SEDANG
2021-07-20,DKI1 (Bunderan HI),100.0,74.0,27.0,15.0,24.0,24.0,100.0,PM25,SEDANG
2021-07-21,DKI1 (Bunderan HI),66.0,48.0,27.0,7.0,26.0,17.0,66.0,PM25,SEDANG
2021-07-22,DKI1 (Bunderan HI),76.0,53.0,31.0,9.0,24.0,26.0,76.0,PM25,SEDANG
2021-07-23,DKI1 (Bunderan HI),80.0,58.0,26.0,9.0,27.0,28.0,80.0,PM25,SEDANG
2021-07-24,DKI1 (Bunderan HI),79.0,53.0,26.0,13.0,21.0,34.0,79.0,PM25,SEDANG
2021-07-25,DKI1 (Bunderan HI),108.0,70.0,25.0,23.0,28.0,38.0,108.0,PM25,TIDAK SEHAT
